NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization,avg_fcf,intrinsic_value,undervalued_score
TATACHEM,Chemicals,1111.8,3000.0,4414.42,6055.73,11297.8,28324.23,6191.987499999999,5171.025695335118,4059.225695335118
GVKPIL,Engineering - Turnkey Services,11.26,2740.8,4188.74,5889.44,6654.27,1778.17,4868.3125,4065.6039810192046,4054.3439810192044
JINDALSAW,Steel - Large,546.55,2841.68,5121.83,6569.69,6985.9,17476.16,5379.775,4492.734321592459,3946.184321592459
SCI,Shipping,255.0,2487.89,4590.91,4820.95,7812.67,11877.89,4928.105,4115.537633806508,3860.537633806508
NCC,Construction,321.15,3234.25,4815.42,5363.8,6401.47,20163.31,4953.735000000001,4136.941648038037,3815.791648038037
NAVA,Diversified - Large,758.1,4691.9,5813.47,6633.08,4465.73,11000.07,5401.044999999999,4510.497231569228,3752.3972315692276
RTNPOWER,Power Generation And Supply,17.89,3114.66,4442.19,5205.29,4867.86,9607.12,4407.5,3680.7722483596,3662.8822483596
NATIONALUM,Aluminium and Aluminium Products,192.2,3231.92,3029.17,5443.4,6665.44,35300.08,4592.4825,3835.254029966447,3643.054029966447
AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1210.85,1303.52,5776.12,6604.08,8543.05,70948.41,5556.692499999999,4640.480895443658,3429.6308954436577
CASTROLIND,Chemicals,208.85,2114.29,3763.52,4807.85,6649.52,20657.88,4333.795,3619.220049025432,3410.3700490254323
BAJAJHIND,Sugar,41.25,2034.46,3254.77,5284.29,5954.97,5269.13,4132.1225,3450.8001871406223,3409.5501871406223
EICHERMOT,Automobiles - Motorcycles / Mopeds,4677.0,5971.44,8297.11,10818.94,13012.87,128154.73,9525.09,7954.551772008517,3277.551772008517
GUJGASLTD,Miscellaneous,633.85,2383.99,4113.81,4877.3,5917.34,43633.6,4323.110000000001,3610.29683825431,2976.44683825431
UNITDSPR,Breweries & Distilleries,1270.7,2425.4,4703.0,6469.8,6649.15,92424.49,5061.8375,4227.219738106848,2956.5197381068483
JKTYRE,Tyres,441.75,1749.69,4151.97,4910.04,5026.51,11517.44,3959.5525000000002,3306.6842785984973,2864.9342785984973
CUB,Banks - Private Sector,167.65,1460.97,4121.45,4209.72,4697.8,12417.39,3622.4849999999997,3025.193932637306,2857.5439326373057
ZUARI,Fertilizers,227.35,646.76,4652.01,4370.69,4957.26,956.17,3656.68,3053.7507124518615,2826.4007124518616
OMAXE,Construction,118.1,2223.59,3429.07,3826.63,4356.43,2160.07,3458.9300000000003,2888.606591722852,2770.506591722852
ARVIND,Textiles - Cotton/Blended,376.4,1387.21,2538.18,4910.19,5212.19,9847.74,3511.9425,2932.8781603708753,2556.4781603708752
APOLLOTYRE,Tyres,541.15,4476.77,5479.18,2928.83,1855.68,34368.51,3685.1150000000002,3077.4972260949944,2536.3472260949943
RAMKY,Construction,585.8,2922.29,3366.48,4114.54,4515.63,4053.6,3729.7350000000006,3114.7600866104353,2528.9600866104356
IGL,Miscellaneous,517.25,2003.01,3063.59,3949.51,5495.76,36207.54,3627.9675,3029.772454214534,2512.522454214534
PARSVNATH,Construction,13.33,1107.39,2802.34,3982.7,4028.1,580.11,2980.1325,2488.755304012369,2475.425304012369
KTKBANK,Banks - Private Sector,224.3,1471.76,4607.97,2938.91,3860.57,8466.47,3219.8025,2688.907472988964,2464.6074729889638
DISHTV,Entertainment / Electronic Media Software,15.74,905.73,3230.95,3690.24,3935.45,2898.2,2940.5924999999997,2455.734831023114,2439.9948310231143
JAYNECOIND,Steel - Large,48.74,2004.28,2716.04,3328.76,3852.27,4732.62,2975.3375,2484.750924447789,2436.0109244477894
FSL,Computers - Software - Medium / Small,213.0,1934.01,3037.22,3586.97,4123.24,15014.74,3170.3599999999997,2647.617267228438,2434.617267228438
MEP,Construction,8.01,1209.67,2489.19,3292.65,4358.83,147.34,2837.585,2369.7116552153093,2361.701655215309
