NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization
TORNTPHARM,Pharmaceuticals - Indian - Formulations,2813.4,6527.11,9188.52,10431.08,13677.43,95213.96
UNITDSPR,Breweries & Distilleries,1270.7,2425.4,4703,6469.8,6649.15,92424.49
SOLARINDS,Chemicals,10022.45,1057.96,1241.03,1336.37,1501.44,90693.23
ICICIGI,Finance & Investments,1817.25,5124.5,9949.97,15125.27,17009.28,89617.79
NAUKRI,Miscellaneous,6887.9,1582.03,2094,2410.01,2262.49,89118.49
MAHABANK,Banks - Public Sector,64.42,16282.52,19124.63,6298.35,15216.69,45618.24
BASML,Textiles - Cotton/Blended,48.51,94.83,384.76,398.91,465.26,314.54
OFSS,Computers - Software - Medium / Small,10211.9,5301.01,8670.09,11100.48,13897.53,88549.27
BVCL,Cement - North India,67.26,87.51,75.99,97.61,130.46,149.05
APOLLOHOSP,Healthcare,6135,2081.8,3848.3,3997.96,3162.94,88211.88
INDHOTEL,Hotels,617,2879.92,2885.53,3123.68,4514.15,87825.78
RVNL,Construction,417.8,3163.46,2456.8,1279.73,2383.23,87112.09
BEARDSELL,Plastics Products,37.77,4.93,23.47,27.58,35.94,148.96
BEDMUTHA,Steel - Medium / Small,236.2,167.86,293.34,306.1,212.3,762.07
MARICO,Solvent Extraction,621.2,3422,6326,7633,9538.23,80422.71
BGRENERGY,Engineering - Turnkey Services,38,787.83,1624.54,1842.24,2405.3,274.23
BHAGERIA,Dyes And Pigments,170.5,34.36,49.42,122.74,120.35,744.14
IRCTC,Travel Agencies,995.5,1895.16,2439.7,2874.11,3445.22,79640
BHARATFORG,Castings & Forgings,1685.8,29.9,724.18,902.88,2101.84,78488.92
COLPAL,Personal Care - Multinational,2882.65,3806.38,5402.11,6766.11,7889.07,78403.95
OIL,Oil Drilling / Allied Services,719.8,8329.4,13625.01,17415.53,17403.96,78055.44
SUPREMEIND,Plastics Products,5993.4,1338.91,2663.94,3119.59,3619.94,76132.29
BHARATGEAR,Auto Ancillaries,110.55,75.44,154.14,133.59,178.52,169.74
DIXON,Electronics - Consumer,12373.8,146.64,278.05,191.51,245.66,74038.77
NMDC,Mining / Minerals / Metals,249.65,12355.5,17722,21036.06,20937.39,73162.54
LUPIN,Pharmaceuticals - Indian - Bulk Drugs & Formln,1602.6,2637.19,4585.11,5552.61,2767.06,73065.12
BIOFILCHEM,Pharmaceuticals - Indian - Formulations,64.7,1.96,3.65,3.58,3.6,105.28
